postcode;plaats;provincie;gemeente;nummer;latitude;longitude;nummer2
9445;Vredenheim;Drenthe;Aa en Hunze;1680;52.9383;6.6361;4
9446;Amen;Drenthe;Aa en Hunze;1680;52.9425;6.6111;4
9447;Papenvoort;Drenthe;Aa en Hunze;1680;52.9525;6.7028;4
9448;Marwijksoord;Drenthe;Aa en Hunze;1680;52.9608;6.6597;4
9449;Nooitgedacht (Aa en Hunze);Drenthe;Aa en Hunze;1680;52.9683;6.6625;4
9450;Rolde;Drenthe;Aa en Hunze;1680;52.9842;6.6486;4
9451;Rolde;Drenthe;Aa en Hunze;1680;52.9842;6.6486;4
9452;Nijlande;Drenthe;Aa en Hunze;1680;52.9742;6.6278;4
9453;Eldersloo;Drenthe;Aa en Hunze;1680;52.9658;6.6181;4
9454;Ekehaar;Drenthe;Aa en Hunze;1680;52.9525;6.6028;4
9455;Geelbroek;Drenthe;Aa en Hunze;1680;52.9508;6.5736;4
9456;Eleveld;Drenthe;Aa en Hunze;1680;52.9575;6.5806;4
9457;Deurze;Drenthe;Aa en Hunze;1680;52.985;6.6097;4
9458;Balloo;Drenthe;Aa en Hunze;1680;52.9958;6.6306;4
9460;Gieten;Drenthe;Aa en Hunze;1680;53.005;6.7639;4
9461;Gieten;Drenthe;Aa en Hunze;1680;53.005;6.7639;4
9462;Gasselte;Drenthe;Aa en Hunze;1680;52.9717;6.7944;4
9463;Eext;Drenthe;Aa en Hunze;1680;53.0175;6.7347;4
9464;Eexterzandvoort;Drenthe;Aa en Hunze;1680;53.035;6.7847;4
9465;Anderen;Drenthe;Aa en Hunze;1680;53;6.6861;4
9466;Gasteren;Drenthe;Aa en Hunze;1680;53.035;6.6639;4
9467;Anloo;Drenthe;Aa en Hunze;1680;53.0442;6.7014;4
9468;Annen;Drenthe;Aa en Hunze;1680;53.0575;6.7194;4
9469;Schipborg;Drenthe;Aa en Hunze;1680;53.075;6.6708;4
9510;Gieterveen;Drenthe;Aa en Hunze;1680;53.0275;6.8375;4
9511;Gieterveen;Drenthe;Aa en Hunze;1680;53.0275;6.8375;4
9512;Nieuwediep;Drenthe;Aa en Hunze;1680;53.0425;6.8583;4
9514;Gasselternijveen;Drenthe;Aa en Hunze;1680;52.9883;6.8528;4
9515;Gasselternijveenschemond;Drenthe;Aa en Hunze;1680;52.9945;6.8982;4
9654;Annerveenschekanaal;Drenthe;Aa en Hunze;1680;53.0775;6.8014;4
9655;Oud Annerveen;Drenthe;Aa en Hunze;1680;53.0875;6.7639;4
9656;Spijkerboor;Drenthe;Aa en Hunze;1680;53.0767;6.7667;4
9657;Nieuw Annerveen;Drenthe;Aa en Hunze;1680;53.0667;6.7764;4
9658;Eexterveen;Drenthe;Aa en Hunze;1680;53.0533;6.8028;4
9659;Eexterveenschekanaal;Drenthe;Aa en Hunze;1680;53.0558;6.8375;4
7858;Eeserveen;Drenthe;Borger-Odoorn;1681;52.8675;6.7653;4
7859;Eeserveen;Drenthe;Borger-Odoorn;1681;52.8675;6.7653;4
7871;Klijndijk;Drenthe;Borger-Odoorn;1681;52.8317;6.8597;4
7872;Valthe;Drenthe;Borger-Odoorn;1681;52.8458;6.8944;4
7873;Odoorn;Drenthe;Borger-Odoorn;1681;52.8492;6.8514;4
7874;Odoornerveen;Drenthe;Borger-Odoorn;1681;52.845;6.7819;4
7875;Exloo;Drenthe;Borger-Odoorn;1681;52.8825;6.8639;4
7876;Valthermond;Drenthe;Borger-Odoorn;1681;52.8817;6.9625;4
7877;Tweede Valthermond;Drenthe;Borger-Odoorn;1681;52.8942;7.0278;4
9520;Nieuw-Buinen;Drenthe;Borger-Odoorn;1681;52.9625;6.95;4
9521;Nieuw-Buinen;Drenthe;Borger-Odoorn;1681;52.9625;6.95;4
9523;Drouwenermond;Drenthe;Borger-Odoorn;1681;52.9783;6.9056;4
9524;Buinerveen;Drenthe;Borger-Odoorn;1681;52.9367;6.8792;4
9525;Drouwenerveen;Drenthe;Borger-Odoorn;1681;52.9692;6.85;4
9526;Bronnegerveen;Drenthe;Borger-Odoorn;1681;52.955;6.8375;4
9527;Bronneger;Drenthe;Borger-Odoorn;1681;52.9467;6.8153;4
9530;Borger;Drenthe;Borger-Odoorn;1681;52.9233;6.7931;4
9531;Borger;Drenthe;Borger-Odoorn;1681;52.9233;6.7931;4
9533;Drouwen;Drenthe;Borger-Odoorn;1681;52.9533;6.7958;4
9534;Westdorp;Drenthe;Borger-Odoorn;1681;52.905;6.7667;4
9535;Ellertshaar;Drenthe;Borger-Odoorn;1681;52.8925;6.7375;4
9536;Ees;Drenthe;Borger-Odoorn;1681;52.9083;6.8056;4
9537;Eesergroen;Drenthe;Borger-Odoorn;1681;52.89;6.7792;4
9570;Tweede Exloërmond;Drenthe;Borger-Odoorn;1681;52.9092;6.9333;4
9571;Tweede Exloërmond;Drenthe;Borger-Odoorn;1681;52.9092;6.9333;4
9573;Eerste Exloërmond;Drenthe;Borger-Odoorn;1681;52.935;6.9361;4
9574;Exloërveen;Drenthe;Borger-Odoorn;1681;52.9067;6.9083;4
7705;Drogteropslagen;Drenthe;De Wolden;1690;52.6225;6.4986;4
7924;Veeningen;Drenthe;De Wolden;1690;52.67;6.3694;4
7926;Kerkenveld;Drenthe;De Wolden;1690;52.6683;6.5;4
7927;Alteveer (De Wolden);Drenthe;De Wolden;1690;52.675;6.4861;4
7935;Eursinge (De Wolden);Drenthe;De Wolden;1690;52.7775;6.4444;4
7957;de Wijk;Drenthe;De Wolden;1690;52.6733;6.2903;4
7958;Koekange;Drenthe;De Wolden;1690;52.6992;6.3167;4
7960;Ruinerwold;Drenthe;De Wolden;1690;52.7233;6.2486;4
7961;Ruinerwold;Drenthe;De Wolden;1690;52.7233;6.2486;4
7963;Ruinen;Drenthe;De Wolden;1690;52.7625;6.3542;4
7964;Ansen;Drenthe;De Wolden;1690;52.7808;6.3361;4
9528;Buinen;Drenthe;De Wolden;1690;52.7625;6.3542;4
9300;Roden;Drenthe;Noordenveld;1699;53.1375;6.4208;4
9301;Roden;Drenthe;Noordenveld;1699;53.1375;6.4208;4
9302;Roden;Drenthe;Noordenveld;1699;53.1375;6.4208;4
9304;Lieveren;Drenthe;Noordenveld;1699;53.1158;6.4528;4
9305;Roderesch;Drenthe;Noordenveld;1699;53.115;6.4236;4
9306;Alteveer;Drenthe;Noordenveld;1699;53.1117;6.4347;4
9311;Nieuw-Roden;Drenthe;Noordenveld;1699;53.1317;6.3972;4
9312;Nietap;Drenthe;Noordenveld;1699;53.1592;6.4;4
9313;Leutingewolde;Drenthe;Noordenveld;1699;53.1583;6.4319;4
9314;Foxwolde;Drenthe;Noordenveld;1699;53.16;6.4597;4
9315;Roderwolde;Drenthe;Noordenveld;1699;53.1683;6.4694;4
9320;Peize;Drenthe;Noordenveld;1699;53.1467;6.4972;4
9321;Peize;Drenthe;Noordenveld;1699;53.1467;6.4972;4
9330;Norg;Drenthe;Noordenveld;1699;53.0667;6.4583;4
9331;Norg;Drenthe;Noordenveld;1699;53.0667;6.4583;4
9333;Langelo;Drenthe;Noordenveld;1699;53.0933;6.4458;4
9334;Peest;Drenthe;Noordenveld;1699;53.0592;6.4972;4
9335;Zuidvelde;Drenthe;Noordenveld;1699;53.0458;6.4583;4
9342;Een;Drenthe;Noordenveld;1699;53.0767;6.3958;4
9343;Een-West;Drenthe;Noordenveld;1699;53.085;6.3389;4
9661;Alteveer;Drenthe;Noordenveld;1699;53.1117;6.4347;4
7970;Havelte;Drenthe;Westerveld;1701;52.7694;6.2401;4
7971;Havelte;Drenthe;Westerveld;1701;52.7694;6.2401;4
7973;Darp;Drenthe;Westerveld;1701;52.775;6.2042;4
7974;Havelterberg;Drenthe;Westerveld;1701;52.7742;6.1819;4
7975;Uffelte;Drenthe;Westerveld;1701;52.79;6.2806;4
7980;Diever;Drenthe;Westerveld;1701;52.8542;6.3181;4
7981;Diever;Drenthe;Westerveld;1701;52.8542;6.3181;4
7983;Wapse;Drenthe;Westerveld;1701;52.8592;6.2667;4
7984;Dieverbrug;Drenthe;Westerveld;1701;52.8467;6.3417;4
7985;Geeuwenbrug;Drenthe;Westerveld;1701;52.8708;6.3722;4
7986;Wittelte;Drenthe;Westerveld;1701;52.8292;6.3361;4
7990;Dwingeloo;Drenthe;Westerveld;1701;52.8342;6.3694;4
7991;Dwingeloo;Drenthe;Westerveld;1701;52.8342;6.3694;4
8350;Wapserveen;Drenthe;Westerveld;1701;52.8258;6.2181;4
8351;Wapserveen;Drenthe;Westerveld;1701;52.8258;6.2181;4
8380;Vledder;Drenthe;Westerveld;1701;52.8558;6.2083;4
8381;Vledder;Drenthe;Westerveld;1701;52.8558;6.2083;4
8382;Frederiksoord;Drenthe;Westerveld;1701;52.8408;6.1764;4
8383;Nijensleek;Drenthe;Westerveld;1701;52.8333;6.1583;4
8384;Wilhelminaoord;Drenthe;Westerveld;1701;52.8558;6.1639;4
8386;Doldersum;Drenthe;Westerveld;1701;52.8858;6.2444;4
8387;Boschoord;Drenthe;Westerveld;1701;52.8981;6.2268;4
8437;Zorgvlied;Drenthe;Westerveld;1701;52.9217;6.2556;4
8438;Wateren;Drenthe;Westerveld;1701;52.9133;6.2792;4
8439;Oude Willem;Drenthe;Westerveld;1701;52.8975;6.3083;4
9470;Zuidlaren;Drenthe;Tynaarlo;1730;53.0942;6.6819;4
9471;Zuidlaren;Drenthe;Tynaarlo;1730;53.0942;6.6819;4
9472;Zuidlaren;Drenthe;Tynaarlo;1730;53.0942;6.6819;4
9473;De Groeve;Drenthe;Tynaarlo;1730;53.1142;6.7153;4
9474;Zuidlaarderveen;Drenthe;Tynaarlo;1730;53.1033;6.7486;4
9475;Midlaren;Drenthe;Tynaarlo;1730;53.11;6.6778;4
9480;Vries;Drenthe;Tynaarlo;1730;53.0742;6.5778;4
9481;Vries;Drenthe;Tynaarlo;1730;53.0742;6.5778;4
9482;Tynaarlo;Drenthe;Tynaarlo;1730;53.0775;6.6167;4
9483;Zeegse;Drenthe;Tynaarlo;1730;53.0683;6.6458;4
9484;Oudemolen;Drenthe;Tynaarlo;1730;53.05;6.6389;4
9485;Taarlo;Drenthe;Tynaarlo;1730;53.0333;6.6264;4
9490;Zeijen;Drenthe;Tynaarlo;1730;53.0475;6.5458;4
9491;Zeijen;Drenthe;Tynaarlo;1730;53.0475;6.5458;4
9493;De Punt;Drenthe;Tynaarlo;1730;53.1167;6.6028;4
9494;Yde;Drenthe;Tynaarlo;1730;53.1158;6.5931;4
9495;Winde;Drenthe;Tynaarlo;1730;53.1275;6.5278;4
9496;Bunne;Drenthe;Tynaarlo;1730;53.1175;6.5333;4
9497;Donderen;Drenthe;Tynaarlo;1730;53.0958;6.5458;4
9760;Eelde;Drenthe;Tynaarlo;1730;53.1358;6.5625;4
9761;Eelde;Drenthe;Tynaarlo;1730;53.1358;6.5625;4
9765;Paterswolde;Drenthe;Tynaarlo;1730;53.145;6.5653;4
9766;Eelderwolde;Drenthe;Tynaarlo;1730;53.1758;6.5431;4
7938;Nieuw-Balinge;Drenthe;Midden-Drenthe;1731;52.7667;6.6069;4
9410;Beilen;Drenthe;Midden-Drenthe;1731;52.8633;6.5139;4
9411;Beilen;Drenthe;Midden-Drenthe;1731;52.8633;6.5139;4
9412;Beilen;Drenthe;Midden-Drenthe;1731;52.8633;6.5139;4
9413;Beilen;Drenthe;Midden-Drenthe;1731;52.8633;6.5139;4
9414;Hooghalen;Drenthe;Midden-Drenthe;1731;52.9208;6.5389;4
9415;Hijken;Drenthe;Midden-Drenthe;1731;52.895;6.4972;4
9416;Oranje;Drenthe;Midden-Drenthe;1731;52.9075;6.4472;4
9417;Spier;Drenthe;Midden-Drenthe;1731;52.8192;6.4667;4
9418;Wijster;Drenthe;Midden-Drenthe;1731;52.8167;6.5181;4
9419;Drijber;Drenthe;Midden-Drenthe;1731;52.7925;6.5389;4
9420;Bovensmilde;Drenthe;Midden-Drenthe;1731;52.9758;6.4819;4
9421;Bovensmilde;Drenthe;Midden-Drenthe;1731;52.9758;6.4819;4
9422;Smilde;Drenthe;Midden-Drenthe;1731;52.9483;6.4486;4
9423;Hoogersmilde;Drenthe;Midden-Drenthe;1731;52.9058;6.3944;4
9430;Westerbork;Drenthe;Midden-Drenthe;1731;52.85;6.6083;4
9431;Westerbork;Drenthe;Midden-Drenthe;1731;52.85;6.6083;4
9433;Zwiggelte;Drenthe;Midden-Drenthe;1731;52.8717;6.5861;4
9434;Eursinge (Midden-Drenthe);Drenthe;Midden-Drenthe;1731;52.8375;6.6069;4
