postcode;provincie;gemeente;lat;long
9470;Zuidlaren;Drenthe;Tynaarlo;530.942;66.819
9471;Zuidlaren;Drenthe;Tynaarlo;530.942;66.819
9472;Zuidlaren;Drenthe;Tynaarlo;530.942;66.819
9473;De Groeve;Drenthe;Tynaarlo;531.142;67.153
9474;Zuidlaarderveen;Drenthe;Tynaarlo;531.033;67.486
9475;Midlaren;Drenthe;Tynaarlo;53.11;66.778
9480;Vries;Drenthe;Tynaarlo;530.742;65.778
9481;Vries;Drenthe;Tynaarlo;530.742;65.778
9482;Tynaarlo;Drenthe;Tynaarlo;530.775;66.167
9483;Zeegse;Drenthe;Tynaarlo;530.683;66.458
9484;Oudemolen;Drenthe;Tynaarlo;53.05;66.389
9485;Taarlo;Drenthe;Tynaarlo;530.333;66.264
9490;Zeijen;Drenthe;Tynaarlo;530.475;65.458
9491;Zeijen;Drenthe;Tynaarlo;530.475;65.458
9493;De Punt;Drenthe;Tynaarlo;531.167;66.028
9494;Yde;Drenthe;Tynaarlo;531.158;65.931
9495;Winde;Drenthe;Tynaarlo;531.275;65.278
9496;Bunne;Drenthe;Tynaarlo;531.175;65.333
9497;Donderen;Drenthe;Tynaarlo;530.958;65.458
9760;Eelde;Drenthe;Tynaarlo;531.358;65.625
9761;Eelde;Drenthe;Tynaarlo;531.358;65.625
9765;Paterswolde;Drenthe;Tynaarlo;53.145;65.653
9766;Eelderwolde;Drenthe;Tynaarlo;531.758;65.431
7938;Nieuw-Balinge;Drenthe;Midden-Drenthe;527.667;66.069
9410;Beilen;Drenthe;Midden-Drenthe;528.633;65.139
9411;Beilen;Drenthe;Midden-Drenthe;528.633;65.139
9412;Beilen;Drenthe;Midden-Drenthe;528.633;65.139
9413;Beilen;Drenthe;Midden-Drenthe;528.633;65.139
9414;Hooghalen;Drenthe;Midden-Drenthe;529.208;65.389
9415;Hijken;Drenthe;Midden-Drenthe;52.895;64.972
9416;Oranje;Drenthe;Midden-Drenthe;529.075;64.472
9417;Spier;Drenthe;Midden-Drenthe;528.192;64.667
9418;Wijster;Drenthe;Midden-Drenthe;528.167;65.181
9419;Drijber;Drenthe;Midden-Drenthe;527.925;65.389
9420;Bovensmilde;Drenthe;Midden-Drenthe;529.758;64.819
9421;Bovensmilde;Drenthe;Midden-Drenthe;529.758;64.819
9422;Smilde;Drenthe;Midden-Drenthe;529.483;64.486
9423;Hoogersmilde;Drenthe;Midden-Drenthe;529.058;63.944
9430;Westerbork;Drenthe;Midden-Drenthe;52.85;66.083
9431;Westerbork;Drenthe;Midden-Drenthe;52.85;66.083
9433;Zwiggelte;Drenthe;Midden-Drenthe;528.717;65.861
9434;Eursinge (Midden-Drenthe);Drenthe;Midden-Drenthe;528.375;66.069
9435;Bruntinge;Drenthe;Midden-Drenthe;528.167;65.833
9436;Mantinge;Drenthe;Midden-Drenthe;528.042;66.153
9437;Balinge;Drenthe;Midden-Drenthe;528.108;66.292
9438;Garminge;Drenthe;Midden-Drenthe;52.82;6.625
